,_1
0,Tanmay Agarwal
1,Andre Rusell
2,Suresh Raina
3,Rahul Tripathi
4,Corey Anderson
5,Manoj Tiwary
6,Rajat Bhatia
7,Deepak Hooda
8,Angelo Mathews
9,Yusuf Pathan
10,Baba Aparajith
11,Kagiso Rabada
12,jason ray
13,Chris Gayle
14,Ishank Jaggi
15,Shahbaz Nadeem
16,Jaydev Shah
17,Aditya Tare
18,Pat Cummins
19,Shaun Marsh
20,David Warner
21,Ravindra Jadeja
22,Pawan Negi
23,Bipul Sharma
24,Manan Vohra
25,Darren Sammy
26,Aaron Finch
27,AB de Villiers
28,Jayant Yadav
29,Sam Billings
30,Manish Pandey
31,Kieron Pollard
32,Ankit Sharma
33,dhawal kulkarni
34,Ben Cutting
35,Zaheer Khan
36,Chris Lynn
37,Ajinkya Rahane
38,Kane Williamson
39,Darren Bravo
40,Carlos Brathwaite
41,Mohammed Shami
42,Brendon McCullum
43,Chris Morris
44,Armaan Jaffer
45,Gurkeerat Singh
46,Karn Sharma
47,Saurabh Tiwari
48,Yuvraj Singh
49,SuryaKumar Yadav
50,Akshdeep Nath
51,Shane Watson
52,Hardik Pandya
53,Ankit Bawne
54,Faf du Plessis
55,Marlon Samuels
56,kedar jadhav
57,Shreyas Iyer
58,Stuart Binny
59,Amit Mishra
60,Pratyush Singh
61,Eoin Morgan
62,Harpreet Singh
63,Lendl Simmons
64,Player Name
65,Chrish Woakes
66,Rinku Singh
67,Mitchell Marsh
68,Moises Henriques
69,Siddesh Lad
70,Shreyas Gopal
71,Robin Uthappa
72,Steve Smith
73,Khaleel Ahmed
74,Ambati Rayudu
75,Mandeep Singh
76,Murali Vijay
77,Rohit Sharma
78,Ricky Bhui
79,David Miller
80,Shikhar Dhawan
81,Krunal Pandya
82,Quinton de Kock
83,Nitish Rana
84,Virat Kohli
85,Karun Nair
86,Mayank Agarwal
87,Mohammed Nabi
88,JP Duminy
89,Martin Guptill
90,travis head
91,Gautam Ghambir
92,Usman Khawaja
93,dinesh karthik 
94,Rishab Pant
95,Shashank Singh
96,kl rahul
97,Rishi Dhawan
98,Hashim Amla
99,Sanju Samson
